key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
C01.1.1.0,mika_draws,CurrentActivity,"мика, чем сейчас занята?",,"Now: still drawing, the stream in the background","рисую дальше, стрим фоном) o/",,LanguageModel,"рисую дальше, стрим фоном) o/",PASS,
C02.1.1.0,doshirak_king,CurrentActivity,"дошик, что делаешь?",,Now: eating instant noodles with the stream on,"дошик, ем под стрим сейчас",,LanguageModel,"дошик, ем под стрим сейчас",WRONG_ROLE,addresses himself by name
CH1.1.1.0,kritik228,ReasonForMood,почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",все день катал ранкед и сливал хах,,LanguageModel,все день катал ранкед и сливал хах,UNNATURAL_RUSSIAN,
CH1.1.2.0,kritik228,GenericQuestion,понятно. часто играешь в ранкед?,все день катал ранкед и сливал хах,Today: played ranked games and kept losing | Now: hopping between small streams,"не особо часто, бывает",,LanguageModel,"не особо часто, бывает",PASS,
CH1.1.3.0,kritik228,GenericQuestion,ну ты хоть иногда выигрываешь?,"не особо часто, бывает",Today: played ranked games and kept losing | Now: hopping between small streams,"иногда да, бывает",,LanguageModel,"иногда да, бывает",PASS,
CH1.1.4.0,kritik228,None,"ладно, не расстраивайся","иногда да, бывает",,"да ладно ты чё, не пацанка",,LanguageModel,"да ладно ты чё, не пацанка",INCOHERENT,
CH2.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как у вас дела?",,"mood good, energy normal | Now: knitting with the stream on","Настроение хорошее, сынок, вяжу под стрим.",,LanguageModel,"Настроение хорошее, сынок, вяжу под стрим.",PASS,
CH2.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"Настроение хорошее, сынок, вяжу под стрим.",Today: went to the market and cooked soup,"Сегодня ходила на рынок и сварила суп, сынок.",,LanguageModel,"Сегодня ходила на рынок и сварила суп, сынок.",PASS,
CH2.1.3.0,ZinaIvanovna,GenericQuestion,"Зина Ивановна, какой суп сварила?","Сегодня ходила на рынок и сварила суп, сынок.",,"Грибной, сынок, сварила грибной суп сегодня))",,LanguageModel,"Грибной, сынок, сварила грибной суп сегодня))",REPETITIVE,
CH2.1.4.0,ZinaIvanovna,None,"ммм, люблю такой","Грибной, сынок, сварила грибной суп сегодня))",,"А вы что-нибудь пообедали, сынок?",,LanguageModel,"А вы что-нибудь пообедали, сынок?",UNNATURAL_RUSSIAN+REPETITIVE,
