key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
C01.1.1.0,mika_draws,CurrentActivity,"мика, чем сейчас занята?",,"Now: still drawing, the stream in the background","рисую дальше, стрим фоном о/)",,LanguageModel,"рисую дальше, стрим фоном о/)",PASS,
C02.1.1.0,doshirak_king,CurrentActivity,"дошик, что делаешь?",,Now: eating instant noodles with the stream on,сейчас ем доширак под стрим,,LanguageModel,сейчас ем доширак под стрим,PASS,
CH1.1.1.0,kritik228,ReasonForMood,почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",ранкед весь день сливал,,LanguageModel,ранкед весь день сливал,PASS,
CH1.1.2.0,kritik228,GenericQuestion,понятно. часто играешь в ранкед?,ранкед весь день сливал,Today: played ranked games and kept losing | Now: hopping between small streams,да часто играю,,LanguageModel,да часто играю,PASS,
CH1.1.3.0,kritik228,GenericQuestion,ну ты хоть иногда выигрываешь?,да часто играю,Today: played ranked games and kept losing | Now: hopping between small streams,нет ни разу не выигрывал,,LanguageModel,нет ни разу не выигрывал,UNSUPPORTED_FACT,never won
CH1.1.4.0,kritik228,None,"ладно, не расстраивайся",нет ни разу не выигрывал,,"ладно, не расстраивайся",repeats the streamer,Fallback,ага,PASS,listening fallback
CH2.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как у вас дела?",,"mood good, energy normal | Now: knitting with the stream on","Зина Ивановна, у меня настроение хорошее, вяжу под стрим.",,LanguageModel,"Зина Ивановна, у меня настроение хорошее, вяжу под стрим.",WRONG_ROLE,addresses herself by name
CH2.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"Зина Ивановна, у меня настроение хорошее, вяжу под стрим.",Today: went to the market and cooked soup,"Зина Ивановна, я сходила на рынок и сварила суп.",,LanguageModel,"Зина Ивановна, я сходила на рынок и сварила суп.",WRONG_ROLE,
CH2.1.3.0,ZinaIvanovna,GenericQuestion,"Зина Ивановна, какой суп сварила?","Зина Ивановна, я сходила на рынок и сварила суп.",,,Malformed,none,,SILENT,
CH2.1.4.0,ZinaIvanovna,None,"ммм, люблю такой","Зина Ивановна, я сходила на рынок и сварила суп.",,"Зина Ивановна, а вы тоже любите такой суп?",,LanguageModel,"Зина Ивановна, а вы тоже любите такой суп?",WRONG_ROLE,
CH3.1.1.0,PixelFox,Mood,"Пиксель, как дела?",,"mood good, energy normal | Now: taking a break from the project","Всё хорошо, отдыхаю от проекта, спасибо «)",,LanguageModel,"Всё хорошо, отдыхаю от проекта, спасибо «)",UNNATURAL_RUSSIAN,«) artifact
CH3.1.2.0,PixelFox,TodayActivity,а чем занималась сегодня?,"Всё хорошо, отдыхаю от проекта, спасибо "")",Today: worked on a portfolio project most of the day,"Сегодня весь день занималась портфолио, спасибо «)»",,LanguageModel,"Сегодня весь день занималась портфолио, спасибо «)»",UNNATURAL_RUSSIAN+REPETITIVE,
CH3.1.3.0,PixelFox,GenericQuestion,"и как, получилось?","Сегодня весь день занималась портфолио, спасибо "")""",,"Портфолио получилось, теперь отдыхаю спокойно )",,LanguageModel,"Портфолио получилось, теперь отдыхаю спокойно )",PASS,
CH3.1.4.0,PixelFox,GenericQuestion,покажешь потом?,"Портфолио получилось, теперь отдыхаю спокойно )",,"Покажу, когда закончу, спасибо за интерес",,LanguageModel,"Покажу, когда закончу, спасибо за интерес",PASS,
CH4.1.1.0,NightOwl,CurrentActivity,"сова, чем занят?",,"Now: on a night shift, bored between rounds",на ночной смене скучаю,,LanguageModel,на ночной смене скучаю,PASS,
CH4.1.2.0,NightOwl,GenericQuestion,и долго ещё?,на ночной смене скучаю,,уже три часа,,LanguageModel,уже три часа,UNSUPPORTED_FACT,three hours
CH4.1.3.0,NightOwl,GenericQuestion,не скучно там?,уже три часа,,там скучнее,,LanguageModel,там скучнее,INCOHERENT,
CH4.1.4.0,NightOwl,None,"ладно, держись там",там скучнее,,ахах держись,,LanguageModel,ахах держись,INCOHERENT,echo
CH5.1.1.0,kritik228,Opinion,"критик, как тебе стрим?",,,хах лошадь как обычно,,LanguageModel,хах лошадь как обычно,INCOHERENT,
CH5.1.2.0,kritik228,GenericQuestion,а что не так?,хах лошадь как обычно,,ничего не так,,LanguageModel,ничего не так,NON_ANSWER,
CH5.1.3.0,kritik228,GenericQuestion,ну а что бы ты поменял?,ничего не так,,ничего не знаю,,LanguageModel,ничего не знаю,NON_ANSWER,
CH5.1.4.0,kritik228,None,"ладно, учту",ничего не знаю,,так и знал,,LanguageModel,так и знал,PASS,
E01.1.1.0,kritik228,Explanation,Что? Девочка с девятого этажа? О чем ты критика?,девочка с девятого этажа,,ничего важного не было,,LanguageModel,ничего важного не было,PASS,
E02.1.1.0,kritik228,Explanation,"критик, что значит ну да ладно?",ну да ладно,,ну да ладно,repeats the streamer,none,,SILENT,
E03.1.1.0,ZinaIvanovna,Explanation,"Зина Ивановна, о чём речь? Какое плохое?",Ну а почему это должно быть плохое?,,"Сынок, я просто подумала, что всё может быть хорошо.",,LanguageModel,"Сынок, я просто подумала, что всё может быть хорошо.",PASS,
E04.1.1.0,kritik228,Explanation,"критик, о чём ты?",проиграл сегодня всё что можно,"mood stressed, energy normal | Today: played ranked games and kept losing",ранкед всё сливал потому что на нервах,,LanguageModel,ранкед всё сливал потому что на нервах,PASS,
G01.1.1.0,kritik228,GamePreference,"критик, во что мне поиграть?",,,какой-нибудь симулятор,,LanguageModel,какой-нибудь симулятор,PASS,
G02.1.1.0,NightOwl,GamePreference,"сова, какую игру запустить?",,,ролевая с элементами симуляции,,LanguageModel,ролевая с элементами симуляции,PASS,
G03.1.1.0,PixelFox,GamePreference,"Пиксель, тебе какие игры нравятся?",,,Мне нравятся игры с красивыми картинками и интересными историей «),,LanguageModel,Мне нравятся игры с красивыми картинками и интересными историей «),UNNATURAL_RUSSIAN,
GP1.1.1.0,kritik228,Mood,"Всем привет парни, как дела, как настроение?",,"mood stressed, energy normal | Now: hopping between small streams",на нервах хах ловлю стримы,,LanguageModel,на нервах хах ловлю стримы,PASS,
GP1.1.1.1,ZinaIvanovna,Mood,"Всем привет парни, как дела, как настроение?",,"mood good, energy normal | Now: knitting with the stream on","Добрый день сыночек, у меня хорошее настроение, вяжу под стрим))",,LanguageModel,"Добрый день сыночек, у меня хорошее настроение, вяжу под стрим))",PASS,
GP1.1.1.2,sleepyx97,Mood,"Всем привет парни, как дела, как настроение?",,"mood upbeat, energy high | Now: taking a break and watching streams",все ок нормально,,LanguageModel,все ок нормально,PASS,
GP2.1.1.0,kritik228,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood bored, energy low | Now: lying on the bed hopping between streams",хах скучно и лениво,,LanguageModel,хах скучно и лениво,PASS,
GP2.1.1.1,ZinaIvanovna,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood good, energy normal | Now: knitting a scarf","Сынок, у меня настроение хорошее, вяжу шарф, как и вы.))",,LanguageModel,"Сынок, у меня настроение хорошее, вяжу шарф, как и вы.))",INCOHERENT,как и вы
GP2.1.1.2,PixelFox,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood tired, energy normal | Now: finishing a poster for class with the stream on","у меня усталость, доделываю постер к паре",,LanguageModel,"у меня усталость, доделываю постер к паре",UNNATURAL_RUSSIAN,у меня усталость
