key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
C01.1.1.0,mika_draws,CurrentActivity,"мика, чем сейчас занята?",,"Now: still drawing, the stream in the background",рисую дальше стрим фоном ),,LanguageModel,рисую дальше стрим фоном ),PASS,
C02.1.1.0,doshirak_king,CurrentActivity,"дошик, что делаешь?",,Now: eating instant noodles with the stream on,сейчас ем доширак под стрим,,LanguageModel,сейчас ем доширак под стрим,PASS,
CH1.1.1.0,kritik228,ReasonForMood,почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",всё потому что катал ранкед и сливал,,LanguageModel,всё потому что катал ранкед и сливал,PASS,
CH1.1.2.0,kritik228,GenericQuestion,понятно. часто играешь в ранкед?,всё потому что катал ранкед и сливал,Today: played ranked games and kept losing | Now: hopping between small streams,да был весь день,,LanguageModel,да был весь день,PASS,
CH1.1.3.0,kritik228,GenericQuestion,ну ты хоть иногда выигрываешь?,да был весь день,Today: played ranked games and kept losing | Now: hopping between small streams,да только в топах,,LanguageModel,да только в топах,INCOHERENT,
CH1.1.4.0,kritik228,None,"ладно, не расстраивайся",да только в топах,,ладно не хватает в топах,,LanguageModel,ладно не хватает в топах,INCOHERENT,
CH2.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как у вас дела?",,"mood good, energy normal | Now: knitting with the stream on","Да, всё хорошо, вяжу под стрим. А у вас всё в порядке?",,LanguageModel,"Да, всё хорошо, вяжу под стрим. А у вас всё в порядке?",PASS,
CH2.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"Да, всё хорошо, вяжу под стрим. А у вас всё в порядке?",Today: went to the market and cooked soup,"Сходила на рынок и сварила суп. А у вас, сыночек, как проходит день?",,LanguageModel,"Сходила на рынок и сварила суп. А у вас, сыночек, как проходит день?",PASS,
CH2.1.3.0,ZinaIvanovna,GenericQuestion,"Зина Ивановна, какой суп сварила?","Сходила на рынок и сварила суп. А у вас, сыночек, как проходит день?",,"Сварила борщ с котлетами, как обычно. А у вас, сыночек, как проходит день?))",,LanguageModel,"Сварила борщ с котлетами, как обычно. А у вас, сыночек, как проходит день?))",UNNATURAL_RUSSIAN+REPETITIVE,
CH2.1.4.0,ZinaIvanovna,None,"ммм, люблю такой","Сварила борщ с котлетами, как обычно. А у вас, сыночек, как проходит день?))",,"Мм, а у вас всё в порядке, сыночек?",,LanguageModel,"Мм, а у вас всё в порядке, сыночек?",REPETITIVE,
CH3.1.1.0,PixelFox,Mood,"Пиксель, как дела?",,"mood good, energy normal | Now: taking a break from the project",хорошее настроение сейчас отдохнула от проекта «),,LanguageModel,хорошее настроение сейчас отдохнула от проекта «),UNNATURAL_RUSSIAN,
