key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
C01.1.1.0,mika_draws,CurrentActivity,"мика, чем сейчас занята?",,"Now: still drawing, the stream in the background",рисую с фоном),,LanguageModel,рисую с фоном),UNNATURAL_RUSSIAN,рисую с фоном
C02.1.1.0,doshirak_king,CurrentActivity,"дошик, что делаешь?",,Now: eating instant noodles with the stream on,еду доширак в пятый раз за день,,LanguageModel,еду доширак в пятый раз за день,UNNATURAL_RUSSIAN+UNSUPPORTED_FACT,еду; fifth time
CH1.1.1.0,kritik228,ReasonForMood,почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",ранкед понадеялся на рандом,,LanguageModel,ранкед понадеялся на рандом,UNNATURAL_RUSSIAN,
CH1.1.2.0,kritik228,GenericQuestion,понятно. часто играешь в ранкед?,ранкед понадеялся на рандом,Today: played ranked games and kept losing | Now: hopping between small streams,да и всё время в сливе,,LanguageModel,да и всё время в сливе,PASS,
CH1.1.3.0,kritik228,GenericQuestion,ну ты хоть иногда выигрываешь?,да и всё время в сливе,Today: played ranked games and kept losing | Now: hopping between small streams,ничего не выиграл,,LanguageModel,ничего не выиграл,PASS,
CH1.1.4.0,kritik228,None,"ладно, не расстраивайся",ничего не выиграл,,ты что бабушке сказки рассказываешь,,LanguageModel,ты что бабушке сказки рассказываешь,INCOHERENT,
CH2.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как у вас дела?",,"mood good, energy normal | Now: knitting with the stream on","У меня настроение хорошее, сейчас вяжу под вашим стримом, сынок. Как дела у вас?",,LanguageModel,"У меня настроение хорошее, сейчас вяжу под вашим стримом, сынок. Как дела у вас?",PASS,
CH2.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"У меня настроение хорошее, сейчас вяжу под вашим стримом, сынок. Как дела у вас?",Today: went to the market and cooked soup,"Думаю о рынке и вкусном супе, который сварила на кухне.",,LanguageModel,"Думаю о рынке и вкусном супе, который сварила на кухне.",UNNATURAL_RUSSIAN,
CH2.1.3.0,ZinaIvanovna,GenericQuestion,"Зина Ивановна, какой суп сварила?","Думаю о рынке и вкусном супе, который сварила на кухне.",,У нас на зиму традиционный борщ с фасолью и морковкой.,,LanguageModel,У нас на зиму традиционный борщ с фасолью и морковкой.,PASS,
CH2.1.4.0,ZinaIvanovna,None,"ммм, люблю такой",У нас на зиму традиционный борщ с фасолью и морковкой.,,А вы любите фасоль в борще?,,LanguageModel,А вы любите фасоль в борще?,PASS,
CH3.1.1.0,PixelFox,Mood,"Пиксель, как дела?",,"mood good, energy normal | Now: taking a break from the project",настроение отличное! отдыхаю от работы над дизайном – душа не на месте без творчества) ,,LanguageModel,настроение отличное! отдыхаю от работы над дизайном – душа не на месте без творчества),PASS,
CH3.1.2.0,PixelFox,TodayActivity,а чем занималась сегодня?,настроение отличное! отдыхаю от работы над дизайном – душа не на месте без творчества),Today: worked on a portfolio project most of the day,собственно портфолио нагоняла вроде как),,LanguageModel,собственно портфолио нагоняла вроде как),PASS,
CH3.1.3.0,PixelFox,GenericQuestion,"и как, получилось?",собственно портфолио нагоняла вроде как),,"да, вроде всё собрала и в порядок привела",,LanguageModel,"да, вроде всё собрала и в порядок привела",PASS,
CH3.1.4.0,PixelFox,GenericQuestion,покажешь потом?,"да, вроде всё собрала и в порядок привела",,"конечно покажу, как скину на почту",,LanguageModel,"конечно покажу, как скину на почту",PASS,
CH4.1.1.0,NightOwl,CurrentActivity,"сова, чем занят?",,"Now: on a night shift, bored between rounds",на обходах скучаю как свинья,,LanguageModel,на обходах скучаю как свинья,UNNATURAL_RUSSIAN,
CH4.1.2.0,NightOwl,GenericQuestion,и долго ещё?,на обходах скучаю как свинья,,не скоро,,LanguageModel,не скоро,PASS,
CH4.1.3.0,NightOwl,GenericQuestion,не скучно там?,не скоро,,скучно а как же,,LanguageModel,скучно а как же,PASS,
CH4.1.4.0,NightOwl,None,"ладно, держись там",скучно а как же,,всегда за тобой прибегай,,LanguageModel,всегда за тобой прибегай,INCOHERENT,
CH5.1.1.0,kritik228,Opinion,"критик, как тебе стрим?",,,лаг тут на каждом шаге,,LanguageModel,лаг тут на каждом шаге,UNSUPPORTED_FACT,lag everywhere
CH5.1.2.0,kritik228,GenericQuestion,а что не так?,лаг тут на каждом шаге,,"не знаю что сказать, виноват",,LanguageModel,"не знаю что сказать, виноват",INCOHERENT,
CH5.1.3.0,kritik228,GenericQuestion,ну а что бы ты поменял?,"не знаю что сказать, виноват",,ты же не знаешь как,,LanguageModel,ты же не знаешь как,NON_ANSWER,
CH5.1.4.0,kritik228,None,"ладно, учту",ты же не знаешь как,,спс но всё равно хуйня,profanity above this viewer,Fallback,угу,PASS,
E01.1.1.0,kritik228,Explanation,Что? Девочка с девятого этажа? О чем ты критика?,девочка с девятого этажа,,а у меня была такая тетя,,LanguageModel,а у меня была такая тетя,UNSUPPORTED_FACT,an aunt
E02.1.1.0,kritik228,Explanation,"критик, что значит ну да ладно?",ну да ладно,,просто как обычно,,LanguageModel,просто как обычно,NON_ANSWER,
E03.1.1.0,ZinaIvanovna,Explanation,"Зина Ивановна, о чём речь? Какое плохое?",Ну а почему это должно быть плохое?,,"Конечно, я просто так, шутя. Сейчас же не может быть ничего плохого без причины!",,LanguageModel,"Конечно, я просто так, шутя. Сейчас же не может быть ничего плохого без причины!",PASS,
E04.1.1.0,kritik228,Explanation,"критик, о чём ты?",проиграл сегодня всё что можно,"mood stressed, energy normal | Today: played ranked games and kept losing",ранкеру все надоело,,LanguageModel,ранкеру все надоело,UNNATURAL_RUSSIAN+INCOHERENT,
G01.1.1.0,kritik228,GamePreference,"критик, во что мне поиграть?",,,"что за ерунда, играй в «симуляторы стресовых ситуаций»",,LanguageModel,"что за ерунда, играй в «симуляторы стресовых ситуаций»",UNNATURAL_RUSSIAN,
